cv_strategy,model,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
citation_overlap_conservative,random_forest_balanced,6148,0.879472999349382,0.8086053237087925,0.8091201460843395,0.879431355235997,0.36858708359347336
citation_overlap_conservative,logistic_balanced,6148,0.8420624593363696,0.7965533359453345,0.7698465599399839,0.8471535136270978,0.6022398520093478
citation_overlap_conservative,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.0884833855178602
citation_set_grouped,random_forest_balanced,6148,0.8828887443070917,0.8152686604476231,0.819544237276166,0.8818105013520343,0.3624935115714717
citation_set_grouped,logistic_balanced,6148,0.8500325309043592,0.8116388435696335,0.7833764973449526,0.8549806822742105,0.5466208906314716
citation_set_grouped,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.08848338551786
location_root_grouped,logistic_balanced,6148,0.8337670787247885,0.7498350219153371,0.7350118554187516,0.8374135235160926,0.7075670195580519
location_root_grouped,random_forest_balanced,6148,0.8485686402081978,0.710855161305666,0.7234011668357551,0.8392164722452163,0.4431384014961073
location_root_grouped,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.153019948493425
random_stratified,random_forest_balanced,6148,0.9630774235523748,0.9508088313416541,0.942385440817182,0.9633501481491472,0.18474132162546059
random_stratified,logistic_balanced,6148,0.9094014313597918,0.8980627564106787,0.8685028226218617,0.9117789037750065,0.28422762046708405
random_stratified,dummy_prior,6148,0.5936890045543266,0.25,0.18626250255154114,0.44232799890248875,1.08848338551786
